str_no_string|,
str_vaegir_rebellion_pretender_story_1|Babam ben gençken öldü, Burelek vekilharcı olan kardeşinin korumasına kaldım. Yaşım kemale erinceye kadar tacı muhafaza etmek yerine, elindeki gücü kullanarak benim kralın tek oğlu olmadığımı iddia etti ve annemi de zina yapmakla suçladı. Annem ihanet suçundan dolayı idam edildi, ben ise “piç” ilan edildim.
str_khergit_rebellion_pretender_story_1|Annelerimiz farklıdır ama Sancar Han kardeşim olur, yaşlı Janakir Kağan da babamız. Küçük kardeş olmama rağmen, babamı tanıyanların da aktardığı üzere,  yaşlı Kağan'ın hayatı boyunca en sevdiği ve hükmetme yetkileriyle donattığı oğlu bendim. Sancar ise o sırada babamın ahlağı eksik komutanlarının ilgisini çekmek için av partileri ve ziyafetler düzenlemekle meşguldü.
str_nord_rebellion_pretender_story_1|Bana “Ufukaşan” derler, çünkü gerçek bilgiye ulaşma adına Nord standartlarına göre bile çok uzak mesafeler katetmişliğim vardır. Yaşım kemale ermeden önce babam beni denizaşırı üniversitelerde okumaya gönderdi. Eğer Nordlar kendilerini Kalradya İmparatorluğu'nun varisleri ilan edeceklerse, o halde bu mevkiye layık olduklarını gösterebilmeliler ve sadece savaşmaktan ve yağmalamaktan değil, kanunlar ve adaletten de anladıklarını ispatlamalılar. 
str_rhodok_rebellion_pretender_story_1|Rodoklar özgür insanlardır, bir hanedanlar monarşisinin kölesi değildirler! Kral, Jelkala, Veluca ve Yalen şehirlerinden gelen temsilciler tarafından, diyarın en soylu aileleri arasından seçilir. Konsey Jelkala önlerinde toplanır ve bu toplantıya silahla katılınması idam cezası hükmüyle yasaklanmıştır.
str_sarranid_rebellion_pretender_story_1|Çok uzak bir ülkede doğmuşum ben, mütevazı bir ailenin evladı olarak, ve küçük bir kızken de köle olmuşum -- ama bunda utanç duyulacak bir taraf yok, zaten pek çok kralımızın anneleri köledir. Bir önceki Sultan, Ayzar, beni pazar yerinde görmüş ve bir anda güzelliğime vurulmuş. Beni hizmetine aldı, ve orada zekama da saygı duyması gerektiğini öğrendi. Yaşı ilerledikçe, bazı yönetim işlerini onun yerine yapmama izin verdi. İlk olarak sarayın işleriyle ilgilendim, daha sonralarıysa tüm ülkenin.
str_swadian_rebellion_pretender_story_2|Ancak babam öldüğünde kuzeni Harlaus, soyluları aklı başında hiçbir Svadya kralının kızını varis ilan etmeyeceğine inandırdı. Babamın beni varis ilan etmesinin ancak delilikle açıklanabileceğini söyleyen Harlaus, kararın geçersiz olduğunu ilan etti ve babamın en yakın akrabası olarak krallık tacını kendisi için aldı.
str_vaegir_rebellion_pretender_story_2|Sadık bir hizmetkar tarafından kurtarılıp uzaklara götürüldüm ama artık yaşım geldi ve hakkım olan şeyi almak için geri geldim. Burelek hainliğinden kısa bir süre sonra öldü -- İlahi adalet... Şimdi oğlu  Yaroglek kendine kral diyor, o da en az babası kadar hırsız. Ancak yakında onu tahttan düşüreceğim.
str_khergit_rebellion_pretender_story_2|Kergit adetlerine göre, bir adam öldüğünde hayvan sürüleri oğulları arasında eşit şekilde paylaştırılır. Hanedan için de aynı şey geçerlidir. Babamın öldüğünü duyduğumda uzaklarda sınırları kontrol ediyordum,ancak derhal Tulga'ya yollandım. Sancar'a kendi hakkını verip hanlığı onunla paylaşacaktım... Ancak vardığımda gördüm ki Sancar çoktan destekçilerini biraraya getirmiş ve kendini tek, sarsılmaz Hakan ilan ettirmişti.
str_nord_rebellion_pretender_story_2|Babam, ben eğitimimi bitiremeden öldü, ben de tacımı almak için eve dönüş yolunu tutmuştum fakat bir fırtına gemimi parçaladı. Babama bağlı derebeylerinden biri, Ragnar, bu fırsatı kaçırmadı ve öldüğüm söylentisini yaydı. Sonra kendini destekleyenleri bir araya toplayarak kendini kral ilan ettirdi ve son birkaç yıldır konumunu güçlendirmek için uğraşıyor.
str_rhodok_rebellion_pretender_story_2|En son seçimlerde sadece iki aday vardı, ben ve Lord Graveth. Konsey değerlendirmesini sürdürürken, elinde bir kılıçla Graveth ortaya çıkıverdi, onlara konseyin toplantısını yaptığı yere bir Svadya birliğinin yaklaştığını söyledi -- bu yalan değildi bu arada -- ve eğer onu kral ilan etmezlerse konseyi Svadya birliğinin kucağına atacağını söyledi.
str_sarranid_rebellion_pretender_story_2|Sultan Ayzar öldüğünde, iç savaş tehditlerini engellediğim için, ülkenin emirleri yönetici olmam fikrinin doğal olduğunu düşündüler. Gelgelelim, onun generallerinden biriyle, Emir Baybak'la evlenmem konusunda da kesin bir ısrar içindeydiler. Daha sonra emirler ikimize birden sadakat yemini verdirmek için toplandılar -- Baybak'a orduların komutanı olarak, bana da 'Ülkenin Anası' olarak. Kısa süreli iktidarımız sırasında ülkemiz serpilip, refaha erdi.
str_swadian_rebellion_pretender_story_3|Harlaus ve onu dinleyenlere hakaret etmemin davama fayda sağlamadığını itiraf etmeliyim, ama vezirlerini kazandığımı düşünüyorum. Eski krallarının hatırasını taşıyacak olanlardan bir ordu derleyeceğim ve eğer birisi çıkıp da bir kadının güç sahibi olmasından şüphe duyuyorsa Harlaus'u yakalayıp haksız yere başında tuttuğu tacı ondan alarak bu şüphecilere yanıldıklarını göstereceğim.
str_vaegir_rebellion_pretender_story_3|Vaegirler arasında haklarımı geri alamadığım sürece yapmam gerekeni bana sürekli hatırlatması için “Piç” takma adını kullanmaya devam edeceğim.
str_khergit_rebellion_pretender_story_3|Kardeşim Kergitlerin sadece güce saygı duyduklarını söyledi: her istediğini elde eden, ne zaman isterse elde eden bir lider. Ancak halkımızın tabiatını yanlış yorumladığını düşünüyorum --kararlı bir lidere gıpta ile bakarız ama biliriz ki kendi öz kardeşinin haklarına bile saygı duymayan birine tebası olarak biz de saygı duyamayız.
str_nord_rebellion_pretender_story_3|Bu yüzden sürgünde yaşıyorum. Tabii artık uzak diyarların bilgeliklerini bana öğretecek alimler yerine benimle birlikte Nord iline varıp tahtımı ve tacımı geri almamda yardımcı olacak savaşçılar arıyorum. Eğer Ragnar hükümdarlığımdan şüphe duyuyorsa bir de karşılıklı kalkanlarımızın kenarından gözlerimin içine bakarken söylesin aynı şeyi. Sonuçta bir alim savaşçı olabilir, bir savaşçı da alim ama bana göre sadece ikisini de özünde birleştirebilen kişi kral olmaya layıktır!
str_rhodok_rebellion_pretender_story_3|Graveth Svadyalıları yendi, bir Rodok olarak ona minnettarım. Kral olduğumda, başına zafer halkasını kendi ellerimle takacağım. Hemen ardından da o başını omuzlarından ayıracağım, çünkü yaptıklarıyla bir Rodok düşmanı olduğunu kanıtladı.
str_sarranid_rebellion_pretender_story_3|Lâkin maalesef, kısa süre sonra Baybak Kergitlerle girdiği bir çarpışmada öldürüldü. Öldürüldüğü haberini aldığım anda, kendimi olası ihanetlere karşı hazırladım. Ama yine de, kocamın aşağılık yeğeni Hakim, daha üstünde savaşın tozları dururken gelip beni saraydan attı ve kendisini Sultan ilan etti. Öyle olsun bakalım -- ben de kendi ordumu toplar ve ona iyiliğini iade ederim.
str_swadian_rebellion_monarch_response_1|Isolla Svadya Kraliçesi olması gerektiğini mi düşünüyor? Heh, Kral Esterich çok yufka yürekliydi ve kızını çok severdi ancak kafasını kullanmayan iyi kalpli bir kral kendi insanları için bir lanet olabilir. Isolla sana eski zamanların savaşçı prenseslerini anlatmış olabilir, ama unutma ki bütün bu hikayelerin sonu aynı yere bağlanıyor -- Svadya'nın Kalradya imparatorunun gönderdiği orduların ayakları altında yerle bir olmasına.
str_vaegir_rebellion_monarch_response_1|Eğer Valdym bana dostane bir tavırla gelmiş olsaydı, onu mevki ve ünvanlarla şereflendirirdim ve en büyük derebeyim yapardım. Ama savaşarak karşıma çıktığı için onu zincire vurdurup önümde sürükleteceğim ki benim mutlak hükümdarı olduğumu kabul etsin. Sonra da sözünden dönemeyeceğinden emin olmak için dilini kopartacağım.
str_khergit_rebellion_monarch_response_1|Kardeşim Dustum belki sana hanlığı koyun sürüsü gibi bölmekte ısrarlı olduğundan bahsetmiştir? Sana bir şey söyleyeyim, Kergitler bu topraklarda bir devlet olduklarından beri her hakanın ölümü aynı şekilde sonuçlandı -- yurt bölündü, hakanın oğulları savaşa soyundu, en güçlü olan herşeyi aldı. Neyseki iç savaşı önceden önleyebilecek öngörüm vardı.
str_nord_rebellion_monarch_response_1|Lethwin 'Ufukaşan' mı? Lethwin “mürekkep-parmak” daha doğru olacaktır. Belki şu deyimi duymuşsundur, 'Mutsuzdur, kralı bir çocuk olan diyar.' Kralı öğrenci olan bir diyar da aynı şekilde mutsuzdur. Nordlar sakalı bitmemiş bir çaylak tarafından mı yönetilsin istiyorsun? Eli silah tutmaktan sertleşmemiş, asla bir kalkan duvarının ardında savaşa girmemiş? Eğer Lethwin kral olursa bütün soyluları onun suratına güleceklerdir.
str_rhodok_rebellion_monarch_response_1|Kuşkusuz Lord Kastor sana kutsal Rodok geleneklerini hiçe sayarak aristokratların kral tercihlerine karıştığımı anlatmıştır. Bak sana birşey anlatayım. Kentlerdeki aristokratlar sürekli kadim özgürlüklerimiz ve haklarımızdan bahsettikleri konuşmalar yapıyorlar ama sonra gidip hangi soylu onları misafir ettiği şatosunda bir kadeh şarap eşliğinde vergi borçlarını görmezden gelme sözü veriyorsa ona oy veriyorlar.
str_sarranid_rebellion_monarch_response_1|Tarihçilerimiz süregelen tek bir kural olduğu hususunda mutabık kaldılar. Halk yöneticinin iktidarını kabul etmeli, çünkü zorbalık iç savaştan iyidir. Bu sebeptendir ki Baybak ve Arwa'nın iktidarını kabul edip, onların müşterek saltanatına yemin verdim.
str_swadian_rebellion_monarch_response_2|Kral babası ona istediği tacı vermedi diye ağlayan bir prensese üzülen insanlar bence onun yerine Vaegirler tarafından soyulup köle pazarlarında satılan Svadya çobanlarına üzülmeliler. Kavgacı ve gaddar komşularımızın hepsi ortadan kalktığı ve barış diyara tekrar egemen olduğu zaman bana prensesler ve kadim hikayelerinden bahsedebilirsin. Ama şimdi değil.
str_vaegir_rebellion_monarch_response_2|Babamın tahtı garantiye almak için yaptığı, yapmadığı veya yapabileceği şeylerden konuşmaktan sıkıldım artık. Taht bana miras kaldı, o kadar. Her hak iddiası tekrar tekrar önümüze çıkarsa, her adamın veraset hakkı her seferinde tekrar tekrar tartışmaya açılırsa zaten krallığın sonu gelir ve durmadan iç savaş çıkar.
str_khergit_rebellion_monarch_response_2|Dustum akınları çok yerinde değerlendirebiliyor veya mülk anlaşmazlıklarına hakemliği çok güzel beceriyor olabilir. Ancak böyle bir adamı hakan olarak düşünebiliyor musun? Ne olduğunu bile anlamadan komşularımız tarafından topraklarımızdan sürülüp, bozkırlarda açlık ve soğukla boğuştuğumuz eski günlere döneriz.
str_nord_rebellion_monarch_response_2|Yaşlı Hakrim krallığından kurtulmakla ilgili ilginç fikirlere sahip olabilir ama hanedan bağı Nord kralı olmak için yeterli değildir. Soyluların takdir ettiği en güçlü ve en nüfuzlu kişi olarak krallık benim hakkım. Bu, kan bağından çok daha önemlidir, tersini söyleyene de acırım.
str_rhodok_rebellion_monarch_response_2|Onların ilgilendiği tek özgürlük şişmanlayabilme özgürlüğüdür. Bu sırada benim adamlarım bozkırlarda gecelerken kuru ekmek ve tuzlu balık yiyor, yanan köyleri görebilmek için ufuğu tarıyor ve kervan yollarını açık tutabilmek için kan döküyor. Bak ne diyeceğim – eğer Kergit okuyla sakatlanmış veya Svadya kılıcıyla yaralanmış bir tüccar görürsem, o zaman diyeceğim ki, 'İşte tavsiyeleri dinlenilmesi gereken bir adam!”
str_sarranid_rebellion_monarch_response_2|Şunu bilmelisin ki Arwa'nın Baybak'a eş tayin edilmesinin sebebi ilerigörüşlülüğü yahut adalet sevgisi değildi. Hayır, onun seçilmesinin sebebi Ayzar ve Baybak gibi erkeklerin aklını başından alan bir cadı olmasıydı. Neyse ne -- ben yeminime sadık kaldım, ve onun kuklasının ölümüyle yeminim hükümsüz kalana kadar da gaspçılığına göz yumdum. Şimdi de aynısını o yapsın bakalım.
str_courtship_comment_conventional_generic|terbiyeli bir tip
str_courtship_comment_adventurous_generic|yeterince uygun görünüyor
str_courtship_comment_otherworldly_generic|çok nazik ve yardımsever
str_courtship_comment_ambitious_generic|gayreti eksik – lâkin bunun çaresi bulunabilir
str_courtship_comment_moralist_generic|iyi karaktere sahip bir adama benziyor
str_feast_description|çok kıt
str_feast_description_2|yetersiz
str_feast_description_3|ancak yeter
str_feast_description_4|kâfi
str_feast_description_5|bol
str_feast_description_6|olağanüstü
str_feast_lengthy_description_1|Senin sunduğun yiyecek konukların ve onların maiyetleri için yetersizdi ve bu onları, kendi yiyeceklerini fahiş bir fiyatla şehrin etrafından satın almak zorunda bıraktı. Katılanların genel kanısına göre evsahibi olarak görevini yerine getiremedin, ve bu hem onların sana olan güvenini yıktı, hem de senin toplumdaki saygınlığını azalttı.
str_feast_lengthy_description_2|Malesef senin sunduğun yiyecek ve içecek tükendiği için bazı konuklar kendilerine bunları seyyar satıcılardan satın almak ya da maiyetlerinin bir kısmını eve geri yollamak zorunda kaldı. İnsaflı olanlar açığı cimriliğe değil plansızlığa bağladılar, fakat her iki şekilde de, bu senin saygınlığın için hiç iyi olmadı.
str_feast_lengthy_description_3|Sunduğun yiyecek ve içecek soylulara yetse de onların maiyetindeki bir halk tabakasından birkaç kişi faydalanamadılar. En azından sosyal sorumluluklarını kavramış bir soylu olarak ün yapıyorsun. 
str_feast_lengthy_description_4|İtibar yapmana yetecek miktarda ve çeşitlilikte yiyecek ve içecek sağladın. Yiyecek, içecek ve cümbüş misafirlerinin seninle karşılıklı samimiyet kuracak ve sana olan güvenlerini derinleştirecek kadar memnun etti.
str_feast_lengthy_description_5|Hem misafirlerine, hem onların maiyetlerindekilere yetecek, üstelik de artanları fakirlere dağıtacak bollukta bir masa hazırladın. Misafirlerin cömertliğine ve makamının getirdiği sosyal sorumlulukları kavrayışına övgüler yağdırlar. Yiyecek ve içeceklerle doldurulan karşılıklı konuşmalar katılımcıların arasındaki bağı güçlendirir şekilde ve neşeli geçti.
str_feast_lengthy_description_6|Tüm ülke aylar boyunca masandaki ikramların bolluğunu konuşacak ve bu, bundan sonraki ziyafetlerin standardı olacak. Sadece konuklarının ve onların maiyetlerinin değil, kapıda biriken aç kalabalığın bile karnı tıka basa doydu.
str_kingdom_1_adjective|Svadyalı
str_kingdom_2_adjective|Vaegir
str_kingdom_3_adjective|Kergit
str_kingdom_4_adjective|Nord
str_kingdom_5_adjective|Rodok
str_kingdom_6_adjective|Sarranid
str_credits_1|Mount&Blade: Warband Copyright 2008-2010 Taleworlds Entertainment
str_credits_2|Oyun Tasarımı^^Armağan Yavuz^Steve Negus^Cem Çimenbiçer
str_credits_3|Programlama^^Armağan Yavuz^Cem Çimenbiçer^Serdar Koçdemir^Ozan Gümüş^Mustafa Önder
str_credits_4|3B Tasarım ve Modelleme^^Özgür Saral^Mustafa Öztürk^Yiğit Savtur^Ozan Ünlü^İpek Yavuz
str_credits_5|Resimleme^^Ganbat Badamkhand
str_credits_6|Animasyon:^Pınar Çekiç^Ümit Singil
str_credits_7|Türkçe Çeviri^^Semih Sancar 
str_credits_8|Seslendirme:^Tassilo Egloffstein^Jade E Henderson^^^Orijinal Müzik:^Jesse Hopkins^Violin Soloları:^Zoriy Zinger^Ana Tema ve Scherzo:^The Russian State Symphony Cinema Orchestra, Conducted by Sergei Skripka
str_credits_9|Bu oyun TÜBİTAK-TEYDEB tarafından KOBİ Ar-Ge Başlangıç Destek Programı çerçevesinde desteklenmiştir.^^Dağıtım: Tiglon^^Tutorial written by:^Steve Negus^Armagan Yavuz^Edward Spoerl^^Horse Motion Capture Animation Supplied by:^Richard Widgery & Kinetic Impulse^^Physics:^Havok^^Sound and Music Program Library:^FMODex Sound System by Firelight Technologies^^Skybox Textures:^Jay Weston^^Chinese Translation:^Hetairoi; Gaodatailang; silentjealousy; Ginn; fallout13; James; D.Kaede; Kan2; alixyang; muyiboy^^TaleWorlds Director of Communications:^Ali Erkin^^^TaleWorlds Forum Programming:^Brett Flannigan ^^^TaleWorlds.com Forum Administrators and Moderators:^Janus^Archonsod^Narcissus^Nairagorn^Lost Lamb^Deus Ex^Merentha^Volkier^Instag0^Ativan^ego^Guspav^Hallequin^Invictus^okiN^Raz^rejenorst^Skyrage^ThVaz^^^Mount&Blade Community Suggestions and Feedback:^A_Mustang^adamlug^Adorno^alden^Alhanalem^made^Anthallas^Alkhadias Master^Arch3r^Archevious^Arcas Nebun^Arcon^Arcturus^ares007^Arjihad^BadabombadaBang^Badun^BaronAsh^Berserker Pride^bgfan^bierdopjeee^Big_Mac^Binboy^blink180heights^BlodsHammar^Bloid^Brandon^Brego^chenjielian^cifre^COGlory^Corinthian Hoplite^Crazed Rabbit^CryptoCactus^CtrlAltDe1337^Cuther^Da-V-Man^dimitrischris^dstemmer^EasyCo506^Egbert^ethneldryt^eudaimondaimon^Faranox^Fawzia dokhtar-i-Sanjar^Fei Dao^Gabeed^GeN76^General_Hospital^GhosTR^glustrod^guspav^Halcyon^Harn^Hethwill^Highelfwarrior^HULKSMASH^Iberon^ignoble^Jack_Merchantson^JoG^Jov^Kazzan^King Jonathan the Great^Kleidophoros^knight^Kong Burger^Kristiania^l3asu^Larkraxm^Leandro1021DX^lighthaze^Llew2^Lord Rich^lordum_ediz^Lucke189^Mabons^MacPharlan^Madnes5^MagicMaster^Makh^ManiK^Manitas^Marin Peace Bringer^Martinet^MAXHARDMAN^Merlkir^miguel8500^Mithras^Moddan^Nate^Nemeo^Nite/m4re^noobalicous^Nord Champion^okiN^Orion^OTuphlos^Papa Lazarou^Phallas^Plazek^Prcin^PSYCHO78^PsykoOps^Reapy^Red River^Rhizobium^Riggea^Rongar^Ros^sadnhappy^Sarejo^ScientiaExcelsa^Scorch!^Seawied86^sebal87^shikamaru 1993^Shun^silentdawn^Sir Gowe^Skyrage^Slawomir of Aaarrghh^SoloSebo^SovietSoldier^Stabbing Hobo^Stratigos001^Styo^TalonAquila^test^The Yogi^Thundertrod^Thyr^Tim^Titanshoe^tmos^Toffey^Tonttu^Trenalok^Tronde^UberWiggett^Urist^Ursca^urtzi^Vermin^Viajero^Vincenzo^Vulkan^Warcat92^Welcome_To_Hell^Wheem^Wu-long^Yellonet^Yobbo^Yoshi Murasaki^Yoshiboy^Zyconnic^^^Special Thanks to Toby Lee for his ideas and in depth feedback on the combat system.^...and many many other wonderful Mount&Blade players!^^(This is only a small sample of all the players who have contributed to the game by providing suggestions and feedback.^This list has been compiled by sampling only a few threads in the Taleworlds Forums.^Unfortunately compiling an exhaustive list is almost impossible.^We apologize sincerely if you contributed your suggestions and feedback but were not listed here, and please know that we are grateful to you all the same...)
