dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Bu bölgeye bir derebeyi atama işini, beylerimin fikrini alana kadar ertelemek istiyorum.
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2.1|{s66}, bu çok fazla.
dlga_lady_qst_duel_for_lady_succeeded_1:lady_qst_duel_for_lady_succeeded_2.2|Rica ederim, {s65}, ödüle lüzum yok.
dlga_lady_qst_duel_for_lady_succeeded_2:lady_pretalk|{s10}
dlga_start:lady_qst_duel_for_lady_failed|Masumiyetimi kanıtlayabilmek için {s13} denen adamdan doğruları söylemesini istemişsin, {playername}. Bu çok ince bir jest, çabaladığın için sana çok teşekkür ederim.
dlga_lady_qst_duel_for_lady_failed:lady_qst_duel_for_lady_failed_2|Yenilgim yüzünden affınızı diliyorum, {s65}...
dlga_lady_qst_duel_for_lady_failed_2:lady_pretalk|Önemi yok, sevgili {playername}. Sen denedin. Gerçek bir kılıcın ucuyla kanıtlanmaz, ancak sen bile bile kendi hayatını benim onurum için tehlikeye attın. Bu bile çoğunluğa benim masumiyetimi kanıtlayacaktır.
dlga_start:lady_escort_lady_succeeded|Bana buraya kadar refakat ettiğin için teşekkür ederim, {playername}. Lütfen bunu minnettarlığımın bir göstergesi olarak al. Umarım kısa zamanda tekrar görüşürüz.
dlga_lady_escort_lady_succeeded:close_window|Size hizmet etmek bir şerefti, {s65}.
dlga_start:lady_start.2|Ah {playername} – mesajımı almış olmalısın. Gelebildiğin için o kadar mutluyum ki!
dlga_start:lady_proposal_pending|{playername} – ailemden benim için herhangi bir mesaj var mı?
dlga_start:lady_betrothed|Duydumki lordum benimle evlenme isteğinizi geri çevirmiş. Bu bizim ayrılacağımız anlamına mı geliyor?
dlga_start:lady_generic_mission_succeeded|Oh, {playername}, onu bana geri getirdin! Bunun için sana çok teşekkür ediyorum. Lütfen bu ufak meblayı onurlu davranışınıza bir karşılık olarak kabul edin.
dlga_start:rescue_prisoner_succeed_1|Oh, {playername}, bana onu geri getirdin! {s11}{.m}{.i} geri getirdiğin için saha müteşekkirim. Minnettarlığımın bir göstergesi olarak lütfen bunu kabul et.
dlga_rescue_prisoner_succeed_1:lady_pretalk|Size hizmet etmek bir şereftir, {s65}.
dlga_start:lady_meet_end|Sen {playername} olmalısın. Az önce turnuvada diğerlerinin arasında nasılda sıyrıldığını izleme şansına eriştik.
dlga_start:lady_meet_end.1|Sen {playername} olmalısın. {s16} sizden çok bahsetti. Sizinle tanıştığıma çok memnunum.
dlga_start:lady_premeet|Pek tanıdık görünmüyorsun diyeceğim.
dlga_start:close_window.19|Ah, {playername}. Sizi tekrar görmek ne güzel. Fakat ne yazık ki, acilen gitmem gereken yerler var.
dlga_start:lady_start.3|{playername} – sizi görmek ne güzel. (Fısıldar:) Ziyaretleriniz hala aklımda.
dlga_start:lady_meet_end.2|Ah, {playername}. Son turnuvadaki başarını görmek ne kadar da güzel.
dlga_start:lady_start.4|{s12}
dlga_lady_start:lady_betrothed|Kötü haberlerim var. Kendi isteğim dışında {s5} ile evlendim! Oh {playername} – sizinle evli olmayı o kadar çok isterdim ki!
dlga_lady_start:lady_betrothed.1|İyi {playername} – Ben de {s5} ile evlendim. Artık birbirimize bu şekilde görmemiz pek uygun değil.
dlga_lady_start:lady_other_suitor|Size söylemem gerek – benimle ilgilenen başka bir lord daha var, ve ben onun olmak istemiyorum. Beni kendisiyle zorla evlendirmesinden korkuyorum.
dlga_lady_start:lady_talk|{s11} Sizinle konuşarak bu denli çok oyalanmam pek uygun birşey değil, fakat umarım sizinle tekrar karşılaşırız.
dlga_lady_start:lady_talk.1|{s11}
dlga_lady_start:lady_talk.2|Bir süreliğine emekli olmayı planlıyorum. Belkide sonra daha çok konuşma şansımız olabilir...
dlga_lady_start:lady_talk.3|Sizinle tekrar vakit geçirebilmek çok güzel birşey...
dlga_lady_start:lady_talk.4|Sizi bugün buraya getiren nedir?
dlga_lady_proposal_pending:close_window|Şimdilik birşey yok...
dlga_lady_proposal_pending:lady_proposal_pending_end|Tekrar düşündüm de, şu sıralar evlenmemiz için uygun bir vakit değil.
dlga_lady_proposal_pending_end:close_window|{s11}
dlga_lady_betrothed:lady_suggest_elope|Asla! Bir an önce kaçmalıyız!
dlga_lady_betrothed:lady_pretalk|Belki de lordunun fikrini değiştirebilirim.
dlga_lady_betrothed:lady_conclude_relationship|Öyle olsun – ayrılalım o halde.
dlga_lady_suggest_elope:lady_conclude_relationship|Pekala {playername} – siz iyi ve cömert birisiniz, fakat bir kadın ailesine meydan okuyamaz. Bu tür şeylerin olması mümkün değil.
dlga_lady_suggest_elope:lady_other_suitor|Efendim – biliyorsunuz ki sizin gibi birkaç beyden daha teklif aıyorum. Henüz herhangi birinize yanıt verebilecek bir konumda değilim.
dlga_lady_suggest_elope:lady_conclude_relationship.1|Ah {playername}, fark etmelisiniz artık. Hala diyar diyar yolunuzu arıyorsunuz. Size karşı büyük bir ilgim var, {playername}, fakat kendimi böylesine meçhul bir şeye adayamam.
dlga_lady_suggest_elope:lady_conclude_relationship.2|Ah {playername}, bana karşı çok naziksiniz, fakat hala böyle bir riski göze alacak kadar tanımıyorum sizi. Kocamı çok az sevmeme rağmen, ailemin kararlarına karşı gelmiş olmak benim için çok ağır birşey ve böylesine bir kararı alacak kadar emin değilim sizden.
dlga_lady_suggest_elope:lady_conclude_relationship.3|Pekala {playername} –kaçmak, ailemle tüm bağlarımı koparmam anlamına gelir, ki onlar benim herşeyim! Sizi seviyorum, fakat böylesine bir riski göze alacağımdan emin değilim.
dlga_lady_suggest_elope:lady_conclude_relationship.4|Pekala {playername} – Ben sizin gibi zorlu bir yaşatıya alışkın değilim. Evim diyebileceğim bir yerim olsun isterim. Eğer bir kalenin veya bir vilayetin lorduysanız, sizin karınız olarak seve seve orada yaşarım. Fakat her an avlanma korkusu ile yaşamak istemiyorum
dlga_lady_suggest_elope:lady_elope_agree|Sizinle kaçmak mı? Evet – bunu yapabiliriz. Bu, ailemi göz ardı etmek için harika bir adım – fakat sevgisiz bir evlilik ve sizsiz bir hayat daha kötü bir şey! Unutmayın ki – bu lordumun şanına leke sürecektir ve sizi mağlup etmek için bütün gücünü kullanacaktır.
dlga_lady_elope_agree:lady_elope_agree_nurse|Çabuk o halde! Kaybedecek vaktimiz yok.
dlga_lady_elope_agree:close_window|Demek bütün gücünü kullanır, öyle mi ? Şey... Bunu biraz düşüneyim...
dlga_lady_elope_agree_nurse:lady_elope_agree_lady_vows|Efendim... Hanımım... Nikah şahidiniz olmamı ister misiniz?
dlga_lady_elope_agree_lady_vows:lady_elope_agree_nurse_2|Evet. Kendi bölümümde şu yemini edeceğim: Ben, {s4}, ülkemizin kadim kanunları ve geleneklerine göre, sizi {playername}, kocam olarak kabul ettiğime yemin ediyorum,
dlga_lady_elope_agree_nurse_2:lady_elope_agree_player_vows|Çok güzel. Siz, {playername}, {s4} sonusuza kadar karınız olacak kalacak şekilde, onu aynı yeminle kabul ediyor musunuz?
dlga_lady_elope_agree_player_vows:close_window|Kabul ediyorum.
dlga_lady_elope_agree_player_vows:close_window.1|Ha, ne? Her şey çok hızlı gelişiyor...
dlga_lady_elope_agree:lady_conclude_relationship|Ah, gerçekten mi? Hayatım -- Bir kadını ailesinden bu şekilde koparamam...
dlga_lady_conclude_relationship:lady_conclude_relationship_confirm|O halde sanırım birlikteliğimizin sonuna geldik...
dlga_lady_conclude_relationship_confirm:lady_conclude_relationship_confirm_yes|Evet -- böyle olmalı...
dlga_lady_conclude_relationship_confirm:lady_conclude_relationship_confirm_no|Bekle -- belki bizim için hala ümit vardır!
dlga_lady_conclude_relationship_confirm_yes:close_window|Elveda, {playername}. Bu diyarın kalelerinde ve avlularında yine karşılaşacağız, ama birbirimizden uzak kalmalıyız. Yine de bu günleri hep sevgiyle anacağım.
dlga_lady_conclude_relationship_confirm_no:close_window|O halde, geleceğin neler getireceğini göreceğiz.
dlga_lady_generic_mission_succeeded:lady_pretalk|Hizmet etmek bir şeref, {s65}.
dlga_lady_premeet:lady_meet|Ben {playername}.
dlga_lady_premeet:lady_meet.1|Adım {playername}. Hizmetinizdeyim.
dlga_lady_meet:lady_meet_end|Tabii ki. Nihayet sizinle tanışabilmek ne muhteşem.
dlga_lady_meet:lady_meet_end.1|{playername}? Adınızı daha önce duyduğumu sanmıyorum.
dlga_lady_meet_end:lady_talk|Bir süreliğine ayrılmak zorundayım, ama belki daha sonra tekrar konuşma şansı buluruz...
dlga_lady_meet_end:lady_talk.1|Şimdi, müsaadenizle...
dlga_lady_meet_end:lady_talk.2|Yardımcı olabilir miyim?
dlga_lady_talk:lord_talk_ask_location|Birisinin yerini öğrenmek istiyorum.
dlga_lady_pretalk:lady_talk|Şimdi, müsaadenizle...
dlga_lady_pretalk:lady_talk.1|Başka bir şey mi vardı?
dlga_lady_talk:lady_relations|Sizin daha yakından tanıma şerefine nail olabilir miyim, hanımefendi?
dlga_lady_relations:lady_pretalk|{s12}
dlga_lady_talk:lady_profess_admiration|Hanımefendi, itiraf etmek gerekirse sizin en büyük hayranınızım
dlga_lady_talk:lady_tournament_dedication_reaction|Hanımefendi, son turnuvadaki başarılarımı size ithaf etmek istiyorum
dlga_lady_tournament_dedication_reaction:lady_pretalk|{s9}
dlga_lady_profess_admiration:close_window|{s11}Birbirimizi daha sık görebilirsek çok mutlu olurum.
dlga_lady_profess_admiration:lady_pretalk|Ah... Çok naziksiniz... Tanrım, saat ne kadar geç olmuş, değil mi? Gerçekten gitmem gerek.
dlga_lady_talk:lady_recite_poetry|Şiiri sever misiniz, hanımefendi?
dlga_lady_recite_poetry:lady_recite_poetry|Bu şiire bağlı. Bir mısra okumayı mı düşünüyorsunuz?
dlga_lady_recite_poetry:lady_recite_poetry_response|Ehmm.. Bozkırın tozunu savuran rüzgar...
dlga_lady_recite_poetry:lady_recite_poetry_response.1|Veluca'nın tüm ipekleri/Khudan'ın tüm kürkleri...
dlga_lady_recite_poetry:lady_recite_poetry_response.2|Sen başım ve sonumsun/dışımda ve içimde...
dlga_lady_recite_poetry:lady_recite_poetry_response.3|Wercheg'in uçurumlarına kazıdı parıltısını bir ışık...
dlga_lady_recite_poetry:lady_recite_poetry_response.4|Sorgulayan kuşku oklarını savuşturdum onun/Kalkanımla, ki sadakatten başka şey değildi o...
dlga_lady_recite_poetry:lady_pretalk|Açıkçası, okumaya değer bir şiir düşünemiyorum...
dlga_lady_recite_poetry_response:lady_private_conversation_end|{s11}
dlga_lady_private_conversation_end:lady_pretalk|Zaman hızla geçiyor, burada daha fazla oyalanamayız.
dlga_lady_talk:lady_marriage_discussion|Sizce birlikte bir geleceğimiz olabilir mi, hanımefendi?
dlga_lady_marriage_discussion:lady_other_suitor|Efendim -- biliyorsunuz ki sizin gibi birkaç beyden daha teklif alıyorum. Fakat şimdilik herhangi birine karşılık verebilecek gibi bir durumda değilim.
dlga_lady_marriage_discussion:lady_proposal_refused|Efendim -- benimle ilgili niyetlerinizin ne kadar onurlu olduğunu duymak beni rahatlattı. Fakat belki de böyle şeyler konuşmadan önce birlikte biraz daha vakit geçirmeliyiz.
dlga_lady_marriage_discussion:lady_proposal_refused.1|Gelecek hakkında ciddi planlarınız olduğunu duymak çok güzel. Yine de, sizinle evlenmeye niyetlenmeden önce biraz daha yükseklere gelebildiğinizi görmek isterdim.
dlga_lady_marriage_discussion:lady_proposal_refused.2|Benimle ilgili niyetlerinizin ne kadar onurlu olduğunu duymak beni rahatlattı. Yine de, evleneceğim erkeğin yüksek bir ahlaka sahip olmasını beklerim. Bu konuda kendinizi biraz daha kanıtlamış olmanızı dilerdim.
dlga_lady_marriage_discussion:lady_betrothed|Ah {playername}, beni nasıl mutlu ettiniz! Fakat vasim ({s4}) alsa izin vermeyecektir... Belki de ayrılmamız en iyisi...
dlga_lady_marriage_discussion:close_window|Ah {playername}, beni nasıl mutlu ettiniz! Gidip vasimden ({s4}) izin alın!
dlga_lady_proposal_refused:lady_proposal_refused_persuade_check|Belki sizi daha fazla beklememek için ikna edebilirim.
dlga_lady_proposal_refused_persuade_check:lady_proposal_refused_persuade_player_response|Ne söyleyeceksiniz?
dlga_lady_proposal_refused_persuade_player_response:lady_proposal_refused_persuade_result|Ununtmayın ki aşk bir gül gibidir. Eğer zamanında koparılmazsa solup gider.
dlga_lady_proposal_refused_persuade_player_response:lady_pretalk|Ah, boş verin.
dlga_lady_proposal_refused_persuade_result:close_window|Yeter, beyim! Ne siz ne de başkası ile evlenmek için acele etmeyeceğim! Lütfen şimdi beni yalnız bırakın. Sizinle tekrar görüşmeye hazır olduğumda size haber gönderirim.
dlga_lady_proposal_refused_persuade_result:lady_betrothed|Oh {playername}, bunun olmasına asla izin veremem! Keşke hemen şimdi evlenebilsek! Ama {s11}{.m} {s4} bize asla izin vermez... Belki de en iyisi birbirimizi bir daha görmememiz...
dlga_lady_proposal_refused_persuade_result:close_window.1|Oh {playername}, bunun olmasına asla izin veremem! Lütfen hemen şimdi gidip {s11}{.m} {s4}'{.den} evlenebilmemiz için izin isteyin!
dlga_lady_proposal_refused:close_window|Peki o halde -- İtibarınıza layık olmak için çaba göstereceğim!
dlga_lady_proposal_refused:lady_player_threatens_compel|Sıkıldım bu oyunlardan! Ailenizle konuşacağım, derhal bir düğün ayarlasınlar.
dlga_lady_player_threatens_compel:lady_player_threatens_compel_2|Ne? Siz ciddi misiniz?
dlga_lady_player_threatens_compel_2:lady_private_conversation_end|Hayır, tabii ki değilim. Lütfen ani öfkemi bağışlayın
dlga_lady_player_threatens_compel_2:close_window|Evet -- sizin için neyin iyi olduğu hakkında hiç bir fikriniz yok.
dlga_lady_other_suitor:lady_pretalk|Bunu duymak beni kahrediyor, hanımefendi, ama böyle şeyler olmak zorunda
dlga_lady_other_suitor:lady_other_suitor_challenge|Kimmiş bu! Bana derhal onun adını söyleyin!
dlga_lady_other_suitor:lady_player_threatens_compel|Sıkıldım bu oyunlardan! Ailenizle konuşacağım, sizi benimle evlenmeye zorlasınlar.
dlga_lady_other_suitor_challenge:lady_pretalk|Minnet duyarım! Ama anladığım kadarıyla zaten bir düelloya katılacaksınız. Fakau bu kişi sizinle dövüşmek zorunda olmayan birisi. Lütfen, diğer işlerinizi çabucak halledin ki, beni bu adamın ilgisinden kurtarabilesiniz!
dlga_lady_other_suitor_challenge:lady_pretalk.1|Ah! Boş sözler. Duyduğum kadarıyla siz zaten bir düelloya katılacaktınız. Başka bir işe başlamadan önce diğeri bitirin. Ah... Siz erkekler çok aptal olabiliyorsunuz...
dlga_lady_other_suitor_challenge:lady_other_suitor_challenge_confirm|{s5}. Lütfen, beni bu adamın ilgisinden kurtarın!
dlga_lady_other_suitor_challenge:lady_other_suitor_challenge_confirm.1|Öyle mi? Bu ilginç olacak. Pekala. Rakibiniz {s5}. Bakalım hanginiz daha cesur.
dlga_lady_other_suitor_challenge:lady_other_suitor_challenge_confirm.2|Aman Tanrım! Keşke bu bir şeref meselesi olmasaydı da, böyle bir teklifi reddedebilseydim. Ne yazık ki, size rakibinizin {s5} olduğunu söylemek zorundayım. Keşke Tanrı bana böylesine düzgün bir yüz vermeseydi de, erkeklerin arzularının hedefi olmasaydım bu kadar!
dlga_lady_other_suitor_challenge:lady_other_suitor_challenge_confirm.3|Bu sözlere katlanmayacağım! {s5} ile savaşmanız çok anlamsız – Ah, şey...! Yalvarırım efendim, o adı anmadığımı varsayın...
dlga_lady_other_suitor_challenge_confirm:lady_other_suitor_challenge_confirm_yes|Öyle olsun! Onunla kapışacağım!
dlga_lady_other_suitor_challenge_confirm:lady_other_suitor_challenge_confirm_no|Tekrar düşündüm de, tutkularımın beni ele geçirmesine izin vermişim. Boş verin.
dlga_lady_other_suitor_challenge_confirm_yes:lady_pretalk|{s15}
dlga_lady_other_suitor_challenge_confirm_no:lady_private_conversation_end|Güzel. Öfkenizin sizi yönetmesine izin vermeyecek kadar akıllısınız.
dlga_lady_talk:lady_ask_for_quest|İyi niyetinizi kazanmak için yapabileceğim bir şey var mı?
dlga_lady_ask_for_quest:lady_pretalk|Senden başka bir ricam yok. 
dlga_lady_ask_for_quest:lady_mission_told|Korkarım sevgili {s13} ile bir daha görüşemeyeceğim... O {s14} zindanlarında mahkum. Fidyesini ödemeye çalıştık, ama çok fazlaydı. Sahip olduğumuz her şeyi satmadan o parayı biriktirmeyi düşünemeyiz bile, ve Tanrı biliyor ki {s13}, bizi parasız bırakacağına o zindanlarda çürümeyi yeğler. Bunun yerine onu oradan çıkarmak için bir plan yaptım, ama birinin büyük bir fedakarlık yapması gerekiyor, ve kimse buna yanaşmadı...
dlga_lady_ask_for_quest:lady_mission_told.1|Zavallı {s13}, {s14} zindanlarında bir mahkum. Onunla sadece mektuplarla konuşabiliyoruz, ama mektubu teslim etmek için çok tehlikeli bir yolculuk gerekiyor, biz de bunu zar zor yapabiliyoruz. Lütfen, mektubumu ona iletir misiniz?
dlga_lady_ask_for_quest:lady_quest_duel_for_lady|Sevgili {playername}, bunu sorman çok kibarca ancak dertlerinle ilgili pek bilgin yok ve kendini benim adıma tehlikeye atmanı isteyemem.
dlga_lady_quest_duel_for_lady:lady_quest_duel_for_lady_2|Sıkıntının ne olduğunu söyle, ayrıca ben kendi kararımı verebilirim.
dlga_lady_quest_duel_for_lady_2:lady_quest_duel_for_lady_3|Pekala, nasıl istersen... Kocam ömrü boyunca bir kısım düşmanlar edindi, {playername}. {s13} bunların içinde en hain olanıydı. Şimdi orada burada benimle ilgili ağıza alınmayacak çirkinlikte iftiralar atıp, her gittiği yerde şerefimi haysiyetimi ayaklar altına alıyormuş! Kocama doğrudan bir fenalık yapamadığı için, adımızı lekelemek adına beni kullanıyor. Ah oralarda anlattıklarını bir duysanız! Keşke ona tüm bu iftiralarını yutturacak cesur birileri olsaydı, ama {s13} hem korkulan biri hem de iyi bir kılıç ustasıdır,
